EMP NO,AGE,MARITAL STATUS,GENDER,EDU_ID,JOB_ID,BUSINESS TRAVEL,CF_ATTRITION LABEL,OVER TIME,DISTANCE FROM HOME,TRAINING TIMES LAST YEAR,HOURLY RATE,DAILY RATE,MONTHLY RATE,MONTHLY INCOME,JOB INVOLVEMENT,JOB SATISFACTION,ENVIRONMENT SATISFACTION,RELATIONSHIP SATISFACTION,PERCENT SALARY HIKE,WORK LIFE BALANCE,PERFORMANCE RATING,NUM COMPANIES WORKED,TOTAL WORKING YEARS,YEARS AT COMPANY,YEARS IN CURRENT ROLE,YEARS SINCE LAST PROMOTION,YEARS WITH CURR MANAGER,DATE JOINED,,,,,,
STAFF-2072,25,SINGLE,MALE,16,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,65,180,21632,3424,4,1,1,3,13,2,3,7,6,4,3,0,1,23-07-20,,,,,,
STAFF-2073,33,DIVORCED,MALE,18,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,5,48,586,21816,4037,4,1,1,1,22,3,4,1,9,9,8,0,8,09-01-15,,,,,,
STAFF-2074,35,SINGLE,FEMALE,16,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,27,3,53,1343,17852,2559,2,1,3,4,11,2,3,1,6,6,5,1,1,17-09-18,,,,,,
STAFF-2075,36,MARRIED,MALE,7,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,1,1,56,928,2823,6201,3,4,2,4,14,2,3,1,18,18,14,4,11,17-11-06,,,,,,
STAFF-2076,32,DIVORCED,MALE,9,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,13,3,73,117,9250,4403,3,4,2,3,11,2,3,2,8,5,2,0,3,11-03-19,,,,,,
STAFF-2077,30,DIVORCED,MALE,9,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,5,3,75,1012,2373,3761,2,4,2,2,12,2,3,9,10,5,4,0,3,12-09-19,,,,,,
STAFF-2078,53,MARRIED,FEMALE,12,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,7,3,78,661,20715,10934,2,4,1,4,18,3,3,7,35,5,2,0,4,25-11-19,,,,,,
STAFF-2079,45,DIVORCED,MALE,13,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,9,2,74,930,19239,10761,3,1,4,3,12,3,3,4,18,5,4,0,2,02-07-19,,,,,,
STAFF-2080,32,MARRIED,FEMALE,17,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,3,91,638,22162,5175,4,3,3,3,12,2,3,5,9,5,3,1,3,10-05-19,,,,,,
STAFF-2081,52,MARRIED,FEMALE,19,6,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,25,3,81,890,19028,13826,2,4,3,3,22,3,4,3,31,9,8,0,0,11-03-15,,,,,,
STAFF-2082,37,DIVORCED,MALE,14,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,16,2,66,342,24558,6334,2,3,4,4,19,3,3,4,9,1,0,0,0,23-02-23,,,,,,
STAFF-2083,28,DIVORCED,MALE,17,1,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,6,63,1169,23965,4936,2,4,2,4,13,3,3,1,6,5,1,0,4,23-02-19,,,,,,
STAFF-2084,22,MARRIED,MALE,7,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,33,1230,19146,4775,2,4,4,1,22,1,4,6,4,2,2,2,2,23-06-22,,,,,,
STAFF-2085,44,MARRIED,MALE,9,4,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,8,2,62,986,5044,2818,4,4,1,3,24,2,4,2,10,3,2,0,2,01-08-21,,,,,,
STAFF-2086,42,SINGLE,MALE,16,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,2,2,35,1271,9068,2515,3,4,2,4,14,3,3,5,8,2,1,2,2,03-03-22,,,,,,
STAFF-2087,36,MARRIED,MALE,8,1,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,3,77,1278,8635,2342,2,1,1,3,21,3,4,0,6,5,4,0,3,07-02-19,,,,,,
STAFF-2088,25,MARRIED,MALE,21,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,3,3,98,141,14363,4194,3,1,3,4,18,3,3,1,5,5,3,0,3,08-03-19,,,,,,
STAFF-2089,35,MARRIED,FEMALE,8,6,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,9,2,66,607,23457,10685,2,3,4,2,20,3,4,1,17,17,14,5,15,11-09-07,,,,,,
STAFF-2090,35,DIVORCED,FEMALE,9,8,TRAVEL_FREQUENTLY,EX-EMPLOYEES,YES,25,3,96,130,16612,2022,3,2,4,1,19,2,3,1,10,10,2,7,8,01-08-14,,,,,,
STAFF-2091,32,DIVORCED,MALE,8,4,NON-TRAVEL,CURRENT EMPLOYEES,NO,1,2,61,300,9148,2314,3,4,4,2,12,3,3,0,4,3,0,0,2,01-12-21,,,,,,
STAFF-2092,25,MARRIED,MALE,11,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,1,87,583,18154,4256,2,1,3,1,12,4,3,1,5,5,2,0,3,18-12-19,,,,,,
STAFF-2093,49,MARRIED,FEMALE,28,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,36,1418,10554,3580,3,1,3,2,16,3,3,2,7,4,2,0,2,19-04-20,,,,,,
STAFF-2094,24,MARRIED,MALE,6,4,NON-TRAVEL,CURRENT EMPLOYEES,NO,4,2,46,1269,10778,3162,2,4,1,4,17,2,3,0,6,5,2,3,4,27-08-19,,,,,,
STAFF-2095,32,MARRIED,MALE,7,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,5,3,48,379,8891,6524,3,2,2,4,14,3,3,1,10,10,8,5,3,25-03-14,,,,,,
STAFF-2096,38,MARRIED,MALE,13,11,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,9,3,98,395,12102,2899,2,2,2,4,19,3,3,0,3,2,2,1,2,19-11-22,,,,,,
STAFF-2097,42,MARRIED,FEMALE,8,4,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,3,1,95,1265,23726,5231,4,4,3,2,13,2,3,2,17,5,3,1,3,04-07-19,,,,,,
STAFF-2098,31,MARRIED,MALE,9,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,11,2,48,1222,14871,2356,3,4,4,2,19,3,3,3,8,6,4,0,2,27-06-18,,,,,,
STAFF-2099,29,DIVORCED,FEMALE,18,11,TRAVEL_RARELY,EX-EMPLOYEES,YES,1,3,48,341,23522,2800,2,3,2,3,19,3,3,6,5,3,2,0,2,08-02-21,,,,,,
STAFF-2100,53,MARRIED,MALE,13,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,3,73,868,22789,11836,3,4,1,3,14,3,3,5,28,2,0,2,2,21-06-22,,,,,,
STAFF-2101,35,MARRIED,MALE,28,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,25,2,78,672,9129,10903,2,2,4,1,16,3,3,3,16,13,10,4,8,08-10-11,,,,,,
STAFF-2102,37,MARRIED,FEMALE,17,11,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,21,3,54,1231,21222,2973,3,4,3,2,15,3,3,5,10,5,4,0,0,22-06-19,,,,,,
STAFF-2103,53,SINGLE,FEMALE,9,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,23,0,72,102,20206,14275,3,4,4,3,18,3,3,6,33,12,9,3,8,11-08-12,,,,,,
STAFF-2104,43,MARRIED,FEMALE,8,3,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,2,33,422,21782,5562,3,4,4,2,13,2,3,4,12,5,2,2,2,09-12-19,,,,,,
STAFF-2105,47,MARRIED,FEMALE,12,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,2,2,35,249,17783,4537,3,4,3,1,22,3,4,0,8,7,6,7,7,21-02-17,,,,,,
STAFF-2106,37,SINGLE,MALE,17,10,NON-TRAVEL,CURRENT EMPLOYEES,YES,19,2,32,1252,4814,7642,3,2,1,4,13,3,3,1,10,10,0,0,9,15-06-14,,,,,,
STAFF-2107,50,DIVORCED,MALE,9,5,NON-TRAVEL,CURRENT EMPLOYEES,NO,2,3,98,881,4544,17924,3,1,1,4,11,3,3,1,31,31,6,14,7,10-11-93,,,,,,
STAFF-2108,39,MARRIED,FEMALE,8,1,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,2,42,1383,7790,5204,2,4,4,3,11,3,3,8,13,5,4,0,4,18-12-19,,,,,,
STAFF-2109,33,DIVORCED,MALE,2,1,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,3,4,57,1075,22650,2277,3,2,4,3,11,4,3,3,7,4,3,0,3,05-03-20,,,,,,
STAFF-2110,32,SINGLE,MALE,9,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,25,2,87,374,18016,2795,3,4,1,3,24,1,4,1,1,1,0,0,1,02-05-23,,,,,,
STAFF-2111,29,DIVORCED,FEMALE,16,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,5,62,1086,6054,2532,2,4,1,3,14,3,3,6,8,4,3,0,3,04-12-20,,,,,,
STAFF-2112,44,MARRIED,MALE,7,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,9,0,61,661,7508,2559,3,1,2,4,13,3,3,1,8,8,7,7,1,01-12-16,,,,,,
STAFF-2113,28,SINGLE,MALE,19,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,5,3,98,821,24252,4908,3,4,1,2,14,3,3,1,4,4,2,0,2,14-06-20,,,,,,
STAFF-2114,58,DIVORCED,MALE,6,4,TRAVEL_FREQUENTLY,EX-EMPLOYEES,YES,2,3,57,781,13384,2380,2,4,4,4,14,2,3,9,3,1,0,0,0,05-06-23,,,,,,
STAFF-2115,43,DIVORCED,FEMALE,8,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,2,55,177,23814,4765,3,2,1,3,21,4,4,4,4,1,0,0,0,17-02-23,,,,,,
STAFF-2116,20,SINGLE,FEMALE,18,11,TRAVEL_RARELY,EX-EMPLOYEES,NO,2,3,49,500,22052,2044,2,3,3,4,13,2,3,1,2,2,2,0,2,05-01-22,,,,,,
STAFF-2117,21,SINGLE,FEMALE,21,8,TRAVEL_RARELY,EX-EMPLOYEES,NO,18,3,65,1427,8870,2693,3,4,4,1,19,2,3,1,1,1,0,0,0,05-11-23,,,,,,
STAFF-2118,36,MARRIED,MALE,6,3,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,14,2,68,1425,4821,6586,3,4,3,1,17,2,3,0,17,16,8,4,11,16-04-08,,,,,,
STAFF-2119,47,SINGLE,FEMALE,9,11,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,2,3,65,1454,13137,3294,2,4,4,1,18,2,3,1,3,3,2,1,2,28-03-21,,,,,,
STAFF-2120,22,MARRIED,FEMALE,6,6,TRAVEL_RARELY,EX-EMPLOYEES,YES,3,3,34,617,10022,4171,3,3,2,1,19,4,3,0,4,3,2,0,2,06-12-21,,,,,,
STAFF-2121,41,DIVORCED,FEMALE,9,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,2,1,57,1085,17725,2778,1,4,2,3,13,2,3,4,10,7,7,1,0,03-03-17,,,,,,
STAFF-2122,28,DIVORCED,FEMALE,18,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,9,2,77,995,9834,2377,3,3,3,2,18,3,3,5,6,2,2,2,2,22-11-22,,,,,,
STAFF-2123,39,MARRIED,MALE,18,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,6,2,70,1122,4303,2404,3,1,4,4,21,1,4,7,8,2,2,2,2,07-01-22,,,,,,
STAFF-2124,27,SINGLE,FEMALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,2,76,618,17808,2318,3,3,2,3,19,3,3,1,1,1,1,0,0,06-06-23,,,,,,
STAFF-2125,34,DIVORCED,MALE,8,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,10,3,83,546,6896,2008,3,2,2,2,14,3,3,1,1,1,0,1,0,18-06-23,,,,,,
STAFF-2126,42,SINGLE,FEMALE,17,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,14,6,68,462,7824,6244,2,3,3,1,17,3,3,7,10,5,4,0,3,18-01-19,,,,,,
STAFF-2127,33,SINGLE,MALE,24,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,1,1,100,1198,3339,2799,2,1,3,2,11,3,3,3,6,3,2,0,2,01-04-21,,,,,,
STAFF-2128,58,DIVORCED,FEMALE,28,3,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,5,3,37,1272,9255,10552,2,2,3,4,13,3,3,2,24,6,0,0,4,21-10-18,,,,,,
STAFF-2129,31,MARRIED,MALE,9,11,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,2,41,154,11737,2329,2,3,2,2,15,4,3,3,13,7,7,5,2,13-07-17,,,,,,
STAFF-2130,35,MARRIED,FEMALE,6,3,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,21,2,51,1137,19170,4014,3,4,4,4,25,1,4,1,10,10,6,0,7,10-07-14,,,,,,
STAFF-2131,49,MARRIED,FEMALE,22,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,3,51,527,22477,7403,3,2,1,3,11,2,3,4,29,26,9,1,7,24-07-98,,,,,,
STAFF-2132,48,MARRIED,MALE,19,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,20,2,51,1469,5543,2259,3,3,4,1,17,2,3,4,13,0,0,0,0,24-09-24,,,,,,
STAFF-2133,31,MARRIED,FEMALE,12,10,NON-TRAVEL,CURRENT EMPLOYEES,NO,20,2,45,1188,24406,6932,3,3,4,4,13,2,3,1,9,9,8,0,0,28-12-15,,,,,,
STAFF-2134,36,SINGLE,MALE,24,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,6,65,188,23293,4678,3,4,2,3,18,3,3,2,8,6,2,0,1,13-01-18,,,,,,
STAFF-2135,38,MARRIED,FEMALE,28,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,3,80,1333,16292,13582,3,1,4,2,13,3,3,1,15,15,12,5,11,05-08-09,,,,,,
STAFF-2136,32,MARRIED,FEMALE,8,4,NON-TRAVEL,CURRENT EMPLOYEES,NO,1,3,70,1184,3974,2332,2,2,3,3,20,3,4,6,5,3,0,0,2,25-05-21,,,,,,
STAFF-2137,25,MARRIED,MALE,12,11,TRAVEL_RARELY,EX-EMPLOYEES,YES,19,2,36,867,18798,2413,2,2,3,3,18,3,3,1,1,1,0,0,0,11-04-23,,,,,,
STAFF-2138,40,DIVORCED,MALE,14,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,10,2,67,658,20652,9705,2,2,1,2,12,2,3,2,11,1,0,0,0,18-08-23,,,,,,
STAFF-2139,26,SINGLE,MALE,18,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,2,52,1283,11148,4294,2,1,3,2,12,3,3,1,7,7,7,0,7,26-05-17,,,,,,
STAFF-2140,41,SINGLE,MALE,18,4,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,6,3,59,263,3119,4721,3,1,4,3,13,3,3,2,20,18,13,2,17,01-01-06,,,,,,
STAFF-2141,36,SINGLE,MALE,19,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,6,79,938,12287,2519,3,3,3,3,21,3,4,4,16,11,8,3,9,19-11-13,,,,,,
STAFF-2142,19,SINGLE,MALE,23,11,TRAVEL_RARELY,EX-EMPLOYEES,YES,21,3,37,419,9947,2121,2,2,4,2,13,4,3,1,1,1,0,0,0,11-04-23,,,,,,
STAFF-2143,20,SINGLE,MALE,28,4,TRAVEL_RARELY,EX-EMPLOYEES,NO,4,2,84,129,13008,2973,3,1,1,2,19,3,3,1,1,1,0,0,0,04-06-23,,,,,,
STAFF-2144,31,MARRIED,FEMALE,18,3,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,12,2,41,616,17369,5855,3,4,4,3,11,1,3,0,10,9,7,8,5,15-09-15,,,,,,
STAFF-2145,40,DIVORCED,MALE,19,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,9,2,35,1469,25063,3617,3,2,4,4,14,3,3,8,3,1,1,0,0,17-04-23,,,,,,
STAFF-2146,32,MARRIED,FEMALE,19,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,3,2,93,498,13554,6725,3,1,3,3,12,4,3,1,8,8,7,6,3,02-09-16,,,,,,
STAFF-2147,36,MARRIED,MALE,6,10,TRAVEL_RARELY,EX-EMPLOYEES,YES,3,6,51,530,5518,10325,2,4,3,1,11,3,3,1,16,16,7,3,7,03-07-08,,,,,,
STAFF-2148,33,SINGLE,FEMALE,8,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,3,42,1069,12291,6949,2,4,2,1,14,3,3,0,6,5,0,1,4,08-05-19,,,,,,
STAFF-2149,37,MARRIED,MALE,9,10,TRAVEL_RARELY,EX-EMPLOYEES,NO,1,2,46,625,14922,10609,2,3,1,3,11,1,3,5,17,14,1,11,7,06-11-10,,,,,,
STAFF-2150,45,MARRIED,MALE,7,4,NON-TRAVEL,CURRENT EMPLOYEES,NO,4,5,57,805,23163,4447,3,2,3,2,12,2,3,1,9,9,7,0,8,19-04-15,,,,,,
STAFF-2151,29,MARRIED,FEMALE,28,11,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,20,5,84,1404,18203,2157,3,4,3,2,15,3,3,1,3,3,1,0,2,05-01-21,,,,,,
STAFF-2152,35,MARRIED,FEMALE,18,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,18,3,86,1219,6179,4601,3,3,3,2,16,3,3,1,5,5,2,1,0,06-11-19,,,,,,
STAFF-2153,52,MARRIED,MALE,7,5,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,70,1053,13829,17099,3,4,4,2,15,2,3,2,26,9,8,7,8,14-04-15,,,,,,
STAFF-2154,58,SINGLE,MALE,28,8,TRAVEL_RARELY,EX-EMPLOYEES,NO,2,4,51,289,26227,2479,3,3,4,1,24,3,4,4,7,1,0,0,0,05-02-23,,,,,,
STAFF-2155,53,DIVORCED,MALE,17,9,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,45,1376,13938,14852,3,3,3,3,13,4,3,6,22,17,13,15,2,04-06-07,,,,,,
STAFF-2156,30,DIVORCED,MALE,22,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,2,62,231,9977,7264,3,3,3,1,11,4,3,5,10,8,4,7,7,15-09-16,,,,,,
STAFF-2157,38,SINGLE,FEMALE,28,10,NON-TRAVEL,CURRENT EMPLOYEES,YES,10,1,85,152,19899,5666,3,4,3,2,13,3,3,1,6,5,3,1,3,13-08-19,,,,,,
STAFF-2158,35,DIVORCED,MALE,9,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,3,2,92,882,6812,7823,3,4,4,2,13,3,3,6,12,10,9,0,8,11-05-14,,,,,,
STAFF-2159,39,SINGLE,MALE,10,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,41,903,2560,7880,4,3,1,4,18,3,3,0,9,8,7,0,7,02-04-16,,,,,,
STAFF-2160,40,SINGLE,FEMALE,8,10,NON-TRAVEL,EX-EMPLOYEES,YES,24,2,100,1479,17071,13194,4,2,2,4,16,2,3,4,22,1,0,0,0,10-07-23,,,,,,
STAFF-2161,47,DIVORCED,MALE,19,6,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,16,3,64,1379,6759,5067,4,3,3,3,19,4,3,1,20,19,10,2,7,05-10-05,,,,,,
STAFF-2162,36,DIVORCED,MALE,29,10,NON-TRAVEL,CURRENT EMPLOYEES,NO,8,3,84,1229,25952,5079,3,4,1,4,13,3,3,4,12,7,7,0,7,28-02-17,,,,,,
STAFF-2163,31,SINGLE,MALE,17,8,NON-TRAVEL,EX-EMPLOYEES,YES,9,0,46,335,10322,2321,2,1,3,1,22,3,4,0,4,3,2,1,2,01-05-21,,,,,,
STAFF-2164,33,SINGLE,MALE,8,9,NON-TRAVEL,CURRENT EMPLOYEES,NO,17,2,38,722,20489,17444,3,3,4,4,11,3,3,1,10,10,8,6,0,25-07-14,,,,,,
STAFF-2165,29,SINGLE,FEMALE,8,8,TRAVEL_RARELY,EX-EMPLOYEES,YES,10,5,92,906,11479,2404,2,1,4,3,20,3,4,6,3,0,0,0,0,15-04-24,,,,,,
STAFF-2166,33,SINGLE,FEMALE,6,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,13,4,53,461,17241,3452,3,4,2,1,18,3,3,3,5,3,2,0,2,26-03-21,,,,,,
STAFF-2167,45,DIVORCED,FEMALE,19,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,91,974,11005,2270,3,4,4,4,14,3,3,3,8,5,3,0,2,09-01-19,,,,,,
STAFF-2168,50,DIVORCED,MALE,17,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,1,66,1126,6615,17399,3,4,4,3,22,2,4,9,32,5,4,1,3,26-12-19,,,,,,
STAFF-2169,33,MARRIED,FEMALE,24,3,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,1,2,84,827,20161,5488,4,2,3,1,13,3,3,1,6,6,5,1,2,11-04-18,,,,,,
STAFF-2170,41,DIVORCED,MALE,18,7,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,9,2,64,840,3735,19419,3,3,1,2,17,4,3,2,21,18,16,0,11,01-06-06,,,,,,
STAFF-2171,27,MARRIED,FEMALE,29,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,16,2,37,1134,12086,2811,3,2,3,2,14,3,3,9,4,2,2,2,2,20-11-22,,,,,,
STAFF-2172,45,MARRIED,MALE,7,4,NON-TRAVEL,CURRENT EMPLOYEES,YES,23,2,42,248,14039,3633,3,1,4,3,15,3,3,1,9,9,8,0,8,18-12-15,,,,,,
STAFF-2173,47,SINGLE,FEMALE,7,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,4,0,83,955,8571,4163,3,4,4,3,17,3,3,1,9,9,0,0,7,11-04-15,,,,,,
STAFF-2174,30,MARRIED,FEMALE,8,8,TRAVEL_RARELY,EX-EMPLOYEES,YES,22,2,48,138,11539,2132,3,3,1,2,11,3,3,4,7,5,2,0,1,07-06-19,,,,,,
STAFF-2175,50,MARRIED,MALE,8,6,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,24,2,95,939,4161,13973,3,3,4,4,18,3,3,3,22,12,11,1,5,10-08-12,,,,,,
STAFF-2176,38,MARRIED,MALE,16,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,10,0,66,1391,12127,2684,3,3,3,2,17,2,3,0,3,2,1,0,2,01-09-22,,,,,,
STAFF-2177,46,DIVORCED,MALE,17,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,3,75,566,24208,10845,3,3,4,2,13,3,3,6,13,8,7,0,7,10-12-16,,,,,,
STAFF-2178,24,DIVORCED,FEMALE,16,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,17,6,41,1206,24117,4377,2,3,4,2,15,3,3,1,5,4,2,3,2,21-04-20,,,,,,
STAFF-2179,35,DIVORCED,MALE,24,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,14,2,39,622,10074,3743,2,2,3,4,24,1,4,1,5,4,2,0,2,01-08-20,,,,,,
STAFF-2180,31,MARRIED,FEMALE,6,6,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,1,96,853,11275,4148,3,1,3,3,12,3,3,1,4,4,3,0,3,12-05-20,,,,,,
STAFF-2181,18,SINGLE,MALE,7,8,NON-TRAVEL,CURRENT EMPLOYEES,NO,5,2,73,287,13493,1051,3,4,2,4,15,3,3,1,0,0,0,0,0,15-07-24,,,,,,
STAFF-2182,54,MARRIED,FEMALE,28,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,17,2,56,1441,13943,10739,3,3,3,3,11,3,3,8,22,10,7,0,8,11-12-14,,,,,,
STAFF-2183,35,DIVORCED,FEMALE,19,3,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,25,3,57,583,6975,10388,3,3,3,3,11,2,3,1,16,16,10,10,1,01-11-08,,,,,,
STAFF-2184,30,MARRIED,FEMALE,7,7,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,8,4,73,153,17802,11416,4,1,2,3,12,2,3,0,9,8,7,1,7,18-03-16,,,,,,
STAFF-2185,20,SINGLE,FEMALE,18,8,TRAVEL_RARELY,EX-EMPLOYEES,YES,11,2,98,1097,18275,2600,2,1,4,1,15,3,3,1,1,1,0,0,0,05-08-23,,,,,,
STAFF-2186,30,SINGLE,FEMALE,18,4,TRAVEL_FREQUENTLY,EX-EMPLOYEES,NO,5,3,60,109,25725,2422,3,2,2,1,17,3,3,0,4,3,2,1,2,06-04-21,,,,,,
STAFF-2187,26,MARRIED,MALE,17,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,2,32,1066,3334,5472,4,4,4,2,12,3,3,1,8,8,7,1,3,07-07-16,,,,,,
STAFF-2188,22,MARRIED,MALE,6,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,3,94,217,6881,2451,1,1,2,1,15,2,3,1,4,4,3,1,1,26-04-20,,,,,,
STAFF-2189,48,SINGLE,MALE,8,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,6,0,97,277,13119,4240,2,3,1,4,13,3,3,2,19,2,2,2,2,08-09-22,,,,,,
STAFF-2190,48,SINGLE,MALE,9,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,3,78,1355,22245,10999,2,3,3,2,14,3,3,7,27,15,11,4,8,17-11-09,,,,,,
STAFF-2191,41,SINGLE,FEMALE,17,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,6,42,549,23371,5003,3,3,4,2,14,3,3,6,8,2,2,2,1,06-09-22,,,,,,
STAFF-2192,39,MARRIED,FEMALE,6,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,3,65,466,7060,12742,2,4,4,3,16,3,3,1,21,21,6,11,8,13-12-03,,,,,,
STAFF-2193,27,MARRIED,FEMALE,9,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,2,47,1055,4658,4227,3,4,1,2,18,3,3,0,4,3,2,2,2,13-08-21,,,,,,
STAFF-2194,35,DIVORCED,MALE,23,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,10,4,45,802,9541,3917,3,4,2,1,20,2,4,1,3,3,2,1,2,05-06-21,,,,,,
STAFF-2195,42,MARRIED,MALE,12,9,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,5,3,90,265,7770,18303,3,3,4,2,13,4,3,6,21,1,0,0,0,26-06-23,,,,,,
STAFF-2196,50,MARRIED,MALE,8,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,9,5,64,804,20165,2380,3,4,1,2,18,3,3,4,8,1,0,0,0,06-11-23,,,,,,
STAFF-2197,59,SINGLE,FEMALE,8,6,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,2,4,69,715,21829,13726,2,4,3,1,13,3,3,3,30,5,3,4,3,01-02-19,,,,,,
STAFF-2198,37,MARRIED,FEMALE,17,3,TRAVEL_RARELY,EX-EMPLOYEES,NO,11,2,61,1141,14382,4777,1,2,1,1,15,1,3,5,15,1,0,0,0,05-01-23,,,,,,
STAFF-2199,55,MARRIED,MALE,19,3,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,18,3,62,135,12992,6385,3,2,3,4,14,3,3,3,17,8,7,6,7,21-12-16,,,,,,
